# 2026-09-18 07:17:38  anchor_train.py --out runs/C_pf_far_ep250 --row 1.0 --n-move 5 --epoch-len 1150 --epochs 250 --eval-every 10 --tta 8 --seed 1 --pf-channels 2 --far-anchor 0.6
grid: 256 rows x 336 cols (row 1.0 ft, colw 32.0 ft), state grid 64 bins of 4.0 ft, stem_stride 1, arch effnet, GR prefilter 0 ft
wells: 773 total -> 618 train / 155 holdout (first holdout d07aed8f)
wells: cache hit C:\Users\sudha\OneDrive\Documents\GitHub\Erudition\kaggle2ndplace\cache\wells__773_cf8a82a2.npz
scored rows in holdout: 754,122
model: GR2TVTAnchorNet 3.74M params, n_move=5, dzl_head=True, pretrained=True
schedule: 250 epochs x 95 steps (batch 6 x accum 2), lr 0.001, warmup 200
epoch 100/250  loss 0.5937  ce 0.2985  huber 0.0247  dzl 0.2705  oov 0.00008  lr 1.00e-03  29s
epoch 101/250  loss 0.5938  ce 0.2976  huber 0.0247  dzl 0.2715  oov 0.00010  lr 1.00e-03  28s
epoch 102/250  loss 0.5872  ce 0.2961  huber 0.0242  dzl 0.2669  oov 0.00013  lr 1.00e-03  28s
epoch 103/250  loss 0.5962  ce 0.2978  huber 0.0246  dzl 0.2738  oov 0.00012  lr 1.00e-03  29s
epoch 104/250  loss 0.5767  ce 0.2933  huber 0.0246  dzl 0.2588  oov 0.00011  lr 1.00e-03  29s
epoch 105/250  loss 0.5895  ce 0.2956  huber 0.0244  dzl 0.2695  oov 0.00013  lr 1.00e-03  29s
epoch 106/250  loss 0.5938  ce 0.2984  huber 0.0243  dzl 0.2711  oov 0.00010  lr 1.00e-03  28s
epoch 107/250  loss 0.5873  ce 0.2964  huber 0.0244  dzl 0.2664  oov 0.00006  lr 1.00e-03  29s
epoch 108/250  loss 0.5766  ce 0.2908  huber 0.0242  dzl 0.2616  oov 0.00009  lr 1.00e-03  29s
epoch 109/250  loss 0.5796  ce 0.2905  huber 0.0235  dzl 0.2657  oov 0.00012  lr 1.00e-03  29s  | holdout pooled RMSE 7.0585 ft
epoch 110/250  loss 0.5758  ce 0.2901  huber 0.0236  dzl 0.2622  oov 0.00012  lr 1.00e-03  29s
epoch 111/250  loss 0.5861  ce 0.2948  huber 0.0243  dzl 0.2669  oov 0.00010  lr 1.00e-03  28s
epoch 112/250  loss 0.5716  ce 0.2895  huber 0.0236  dzl 0.2585  oov 0.00009  lr 1.00e-03  29s
